Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""""","=""""",0,4.11,Harper,Mass Market Paperback,417,2003,1967,,2022/01/05,to-read,to-read (#17),to-read,,,,0,0
18682791,Thus Spake Zarathustra A book for all and none,Friedrich Nietzsche,"Nietzsche, Friedrich",Thomas Common,"=""""","=""""",0,4.07,,Kindle Edition,289,2012,1883,,2022/01/05,to-read,to-read (#16),to-read,,,,0,0
12617,Manufacturing Consent: The Political Economy of the Mass Media,Edward S. Herman,"Herman, Edward S.",Noam Chomsky,"=""0375714499""","=""9780375714498""",0,4.24,Pantheon,Paperback,412,2002,1988,,2022/01/05,to-read,to-read (#15),to-read,,,,0,0
7628,The Good Soldier,Ford Madox Ford,"Ford, Ford Madox","Kenneth Womack, William Baker, Mark Oxford","=""1551113813""","=""9781551113814""",0,3.69,Broadview Press,Paperback,368,2003,1915,,2022/01/05,to-read,to-read (#14),to-read,,,,0,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",4,3.96,Vintage,Paperback,255,2001,1925,,2022/01/05,,,read,,,,1,0
32486577,"Calm: Educate Yourself in the Art of Remaining Calm, and Learn how to Defend Yourself from Panic and Fury",The School of Life,"Life, The School of",,"=""0993538770""","=""""",3,4.08,The School of Life Press,Kindle Edition,136,2016,2016,,2021/02/10,,,read,,,,1,0
27845690,The Course of Love,Alain de Botton,"Botton, Alain de",,"=""0241145473""","=""9780241145470""",5,4.03,Hamish Hamilton,Hardcover,240,2016,2016,,2021/02/10,,,read,,,,1,0
18144590,The Alchemist,Paulo Coelho,"Coelho, Paulo",,"=""0062315005""","=""9780062315007""",3,3.91,HarperOne,Paperback,182,2014,1988,,2020/06/30,,,read,,,,1,0
70561,The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr",Edward E. Ericson Jr.,"=""0060007761""","=""9780060007768""",3,4.32,HarperCollins,Paperback,512,2002,1973,,2021/02/10,,,read,,,,1,0
10882,Hell's Angels,Hunter S. Thompson,"Thompson, Hunter S.",Sylvie Durastanti,"=""222109073X""","=""9782221090732""",3,3.99,Robert Laffont,Paperback,295,2000,1966,,2021/02/10,,,read,,,,1,0
5297,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Jeffrey Eugenides,"=""""","=""""",5,4.12,Random House: Modern Library,Paperback,272,2004,1890,,2021/02/10,,,read,,,,1,0
76844,The Songlines,Bruce Chatwin,"Chatwin, Bruce",,"=""0140094296""","=""9780140094299""",3,3.98,Penguin,Paperback,304,1988,1987,,2021/02/10,,,read,,,,1,0
77013,As I Lay Dying,William Faulkner,"Faulkner, William",,"=""""","=""""",3,3.72,Vintage,Paperback,288,1991,1930,,2020/06/30,,,read,,,,1,0
849866,Mathematics and the Imagination (Dover Books on Mathematics),Edward Kasner,"Kasner, Edward",James Newman,"=""0486417034""","=""9780486417035""",3,4.20,Dover Publications,Paperback,400,2001,1940,2021/05/03,2021/04/06,,,read,,,,1,0
7214,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality (Paperback),Donald Miller,"Miller, Donald",,"=""0785263705""","=""9780785263708""",0,3.90,Thomas Nelson Publishers (17 July 2003),Paperback,243,2003,2003,,2022/01/05,to-read,to-read (#13),to-read,,,,0,0
117833,The Master and Margarita,Mikhail Bulgakov,"Bulgakov, Mikhail","Katherine Tiernan O'Connor, Ellendea Proffer, Diana Lewis Burgin, Hans Fronius","=""0679760806""","=""9780679760801""",3,4.29,Vintage International,Paperback,372,1996,1967,,2022/01/04,,,read,,,,1,0
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",4,4.20,Signet,Mass Market Paperback,325,1963,1962,,2022/01/04,,,read,,,,1,0
