title,author,googleid,goodreads_id,start date,end date,read status,rating,pages
"Rooted: Stories of Life, Land and a Farming Revolution",Sarah Langford,5MqMEAAAQBAJ,61242234,2023/10/21,,currently-reading,0,336.0
Man and His Symbols,C.G. Jung,DkGwngEACAAJ,123632,2023/07/16,,currently-reading,0,415.0
The Hero With a Thousand Faces,Joseph Campbell,I1uFuXlvFgMC,588138,2023/01/04,,currently-reading,0,416.0
Every Man Dies Alone,Hans Fallada,FR6pDwAAQBAJ,3344411,2023/04/28,,currently-reading,0,543.0
This Changes Everything: Capitalism vs. The Climate,Naomi Klein,Vh9ICgAAQBAJ,21913812,2023/11/28,,currently-reading,0,576.0
Philosophy and Life,A.C. Grayling,4wB1rpM3aHIC,61403412,2023/05/04,,currently-reading,0,0.0
Phantoms in the Brain: Probing the Mysteries of the Human Mind,V.S. Ramachandran,TMnuNquN2RgC,31555,2023/10/05,,currently-reading,0,352.0
The Way of the World by Nicholas Bouvier (1994-01-01),Nicolas Bouvier,,129818319,2023/10/10,,currently-reading,0,0.0
More Wealth From Residential Property,Jan Somers,26bNAAAACAAJ,7017642,2023/11/17,,currently-reading,0,256.0
DJ Culture: Diskjockeys und Popkultur,Ulf Poschardt,btl8rgEACAAJ,62031986,2023/07/30,,currently-reading,0,0.0
"Love and Freedom: Transcending Monogamy and Polyamory (Diverse Sexualities, Genders, and Relationships)",Jorge N. Ferrer,wT0yEAAAQBAJ,57646688,2023/06/27,,currently-reading,0,212.0
An Artist of the Floating World,Kazuo Ishiguro,mmHhWgrCWygC,28922,2022/04/27,,currently-reading,0,206.0
Keep the Aspidistra Flying,George Orwell,IcqPEAAAQBAJ,9648,2021/05/03,,read,4,297.0
The Doors of Perception / Heaven and Hell,Aldous Huxley,h5mMb-Jbxq4C,5128,2022/01/05,2022/03/09,read,4,187.0
The Thin Red Line,James Jones,weWKAwAAQBAJ,92417,2020/06/30,2022/03/09,read,3,475.0
1984,George Orwell,kotPYEqx7kMC,40961427,2020/06/30,,read,5,298.0
Women,Charles Bukowski,nTvAJFBpuvYC,38500,2023/04/23,2023/05/03,read,3,291.0
Tender Is the Night,F. Scott Fitzgerald,rq1VDwAAQBAJ,46164,2022/01/05,2022/02/07,read,3,430.0
The Metamorphosis,Franz Kafka,CNadDwAAQBAJ,485894,2022/01/05,,read,3,201.0
The History of Philosophy,A.C. Grayling,bDJwDwAAQBAJ,41954426,2022/01/04,2022/01/16,read,5,704.0
A Little Life,Hanya Yanagihara,FGPYzwEACAAJ,22822858,2022/02/09,2022/03/03,read,3,720.0
Darkness at Noon,Arthur Koestler,AcGdAmm4_xcC,30672,2022/02/07,2022/03/15,read,3,216.0
Heart of Darkness,Joseph Conrad,2c_lltYHOywC,4900,2020/06/30,,read,5,188.0
"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,ngFCDwAAQBAJ,38728977,2022/08/24,2023/04/29,read,4,240.0
The Sound and the Fury,William Faulkner,p7UrAQAAIAAJ,10975,2020/06/30,,read,5,366.0
East of Eden,John Steinbeck,alaX84xlzogC,4406,2022/01/04,2022/01/16,read,5,601.0
The Narrow Road to the Deep North,Richard Flanagan,3be5BwAAQBAJ,17905709,2022/01/05,2022/03/28,read,4,467.0
Cancer Ward,Aleksandr Solzhenitsyn,E3EzrwGivL4C,254316,2022/05/04,2023/04/23,read,5,576.0
In Cold Blood,Truman Capote,NGJubhmwqfoC,168642,2022/01/05,2022/02/07,read,4,343.0
Lord Jim,Joseph Conrad,23H0nIJtLEkC,12194,2022/03/12,2022/04/06,read,4,455.0
Digital Minimalism: Choosing a Focused Life in a Noisy World,Cal Newport,S4NbDwAAQBAJ,40672036,2023/04/02,2023/04/13,read,4,302.0
Japan Story,Christopher    Harding,VVlPDwAAQBAJ,38470226,2022/03/09,2022/04/06,read,4,528.0
A Prayer for Owen Meany,John Irving,cW8Z_UfqnH4C,4473,2022/03/07,2022/05/01,read,3,637.0
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,TL8CCwAAQBAJ,26156469,2023/02/19,2023/03/30,read,4,274.0
Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,xmeJCgAAQBAJ,25666050,2021/05/03,,read,4,368.0
Economics: The User's Guide: A Pelican Introduction,Ha-Joon Chang,93rAAgAAQBAJ,22232098,2022/01/09,,read,4,528.0
The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power,Shoshana Zuboff,W7ZEDgAAQBAJ,26195941,2023/02/02,2023/06/10,read,4,691.0
"Brain Energy: A Revolutionary Breakthrough in Understanding Mental Health--and Improving Treatment for Anxiety, Depression, OCD, PTSD, and More",Christopher M. Palmer,FoxlEAAAQBAJ,61129785,2023/04/27,2023/05/20,read,4,320.0
The Old Man and the Sea,Ernest Hemingway,K1cIZmFe7KoC,2165,2021/08/11,,read,3,96.0
Revolutionary Road,Richard Yates,7k7Foo4aaCUC,48328,2021/08/11,,read,5,355.0
Goodbye to All That,Robert Graves,okJ1AgAAQBAJ,55428,2020/06/30,2022/01/04,read,4,281.0
"Regeneration (Regeneration, #1)",Pat Barker,YiJOGCzq87QC,5872,2022/01/04,,read,4,256.0
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,XLo9DgAAQBAJ,1842,2020/06/30,,read,3,498.0
The New Penguin History of The World,J.M. Roberts,Koj8JeOLgTcC,555926,2022/01/04,,read,5,1232.0
One Flew Over the Cuckoo's Nest,Ken Kesey,fMRcWrzMZwYC,332613,2022/01/04,,read,4,325.0
The Master and Margarita,Mikhail Bulgakov,ZSsAEAAAQBAJ,117833,2022/01/04,,read,3,372.0
Mathematics and the Imagination (Dover Books on Mathematics),Edward Kasner,-bXDAgAAQBAJ,849866,2021/04/06,2021/05/03,read,3,400.0
As I Lay Dying,William Faulkner,yqxaAAAAMAAJ,77013,2020/06/30,,read,3,288.0
The History of the Ancient World: From the Earliest Accounts to the Fall of Rome,Susan Wise Bauer,HmShg3dnLSMC,225947,2022/01/08,2023/07/04,read,4,896.0
The Songlines,Bruce Chatwin,Soc0yN78SFgC,76844,2021/02/10,,read,3,304.0
The Picture of Dorian Gray,Oscar Wilde,w9A98UIGNMAC,5297,2021/02/10,,read,5,272.0
Hell's Angels,Hunter S. Thompson,84o2ZGPzEVEC,10882,2021/02/10,,read,3,295.0
The Gulag Archipelago 1918–1956 (Abridged),Aleksandr Solzhenitsyn,T8XTswEACAAJ,70561,2021/02/10,,read,3,512.0
The Alchemist,Paulo Coelho,FzVjBgAAQBAJ,18144590,2020/06/30,,read,3,182.0
The Course of Love,Alain de Botton,od0nDwAAQBAJ,27845690,2021/02/10,,read,5,240.0
"Calm: Educate Yourself in the Art of Remaining Calm, and Learn how to Defend Yourself from Panic and Fury",The School of Life,7vL-vQAACAAJ,32486577,2021/02/10,,read,3,136.0
The Trial,Franz Kafka,M2936BxlxqEC,17690,2022/01/05,,read,4,255.0
World War II for Beginners (A WRITERS AND READERS DOCUMENTARY COMIC BOOK),Errol Selkirk,3KhZAAAAYAAJ,2758136,2023/06/20,2023/06/27,read,5,176.0
History of the Ancient World: A Global Perspective (The Great Courses),Gregory S. Aldrete,,25692796,2023/06/12,2023/06/23,read,4,24.0
Calling Bullshit: The Art of Skepticism in a Data-Driven World,Carl T. Bergstrom,w2jMDwAAQBAJ,48889983,2022/01/12,2022/09/06,read,5,336.0
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,gwnBvz8pIUMC,17125,2020/06/30,2023/03/30,read,4,182.0
A Portrait of an Artist as a Young Man,James Joyce,C_rPXanc_HAC,11301012,2022/01/04,2022/01/05,read,3,0.0
If on a Winter's Night a Traveler,Italo Calvino,R9qnfnugEOsC,374233,2022/01/14,2023/05/22,read,3,260.0
Blood Red Snow: The Memoirs of a German Soldier on the Eastern Front,Günter K. Koschorrek,_CHOAwAAQBAJ,815783,2020/06/30,2023/05/06,read,4,320.0
Fires on the Plain,Shōhei Ōoka,S_VsAQAACAAJ,64492,2022/03/24,2023/03/21,read,4,246.0
Lanark,Alasdair Gray,p6FaAAAAMAAJ,161037,2023/01/17,2023/02/19,read,4,560.0
Stoner,John  Williams,KHvRCFRnDv4C,166997,2023/02/27,2023/02/28,read,5,288.0
How We Learn: Why Brains Learn Better Than Any Machine . . . for Now,Stanislas Dehaene,zpp9zQEACAAJ,46064083,2022/05/10,2022/07/22,read,4,352.0
Steppenwolf,Hermann Hesse,jQSe1QvG4CkC,16631,2022/01/05,2022/07/09,read,3,256.0
Factotum,Charles Bukowski,LHjHsNvE0lIC,497199,2022/07/02,2022/07/09,read,3,208.0
The Magic Mountain,Thomas Mann,JuezAAAAIAAJ,88077,2022/12/07,2023/01/05,read,5,706.0
The Well-Gardened Mind: The Restorative Power of Nature,Sue Stuart-Smith,t8onEAAAQBAJ,42201448,2022/07/05,2023/01/05,read,4,352.0
Utopia,Thomas More,EZajAQAAQBAJ,18414,2023/01/03,2023/01/05,read,4,163.0
Kon-Tiki,Thor Heyerdahl,LrbDqE3BuhIC,790171,2022/12/03,2023/01/05,read,4,240.0
The Metamorphosis and Other Stories,Franz Kafka,Tad1oLd1NHUC,7723,2022/01/17,,read,3,224.0
Hollywood (Spanish Edition),Charles Bukowski,C8DgDwAAQBAJ,38505,2022/07/09,2022/08/01,read,3,320.0
"Heroes: Mortals and Monsters, Quests and Adventures (Stephen Fry's Great Mythology, #2)",Stephen Fry,4QRuDwAAQBAJ,41433634,2022/07/03,2022/12/21,read,4,415.0
"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,xn83DwAAQBAJ,35696171,2022/07/07,2022/08/01,read,4,576.0
"Mythos: The Greek Myths Retold (Stephen Fry's Great Mythology, #1)",Stephen Fry,,35074096,2022/07/03,2022/08/11,read,4,416.0
Pale Fire,Vladimir Nabokov,MIzUSDvML0kC,7805,2022/11/20,2022/12/03,read,3,246.0
How Emotions Are Made: The Secret Life of the Brain,Lisa Feldman Barrett,mA4iDgAAQBAJ,23719305,2022/06/02,2022/12/03,read,3,425.0
"Ideas: A History of Thought and Invention, from Fire to Freud",Peter Watson,CVNoJydnGAoC,408204,2022/08/05,2022/11/23,read,5,852.0
The Body: A Guide for Occupants,Bill Bryson,856DDwAAQBAJ,43582376,2022/07/03,2022/11/20,read,4,450.0
Of Time and the River: A Legend of Man's Hunger in His Youth,Thomas Wolfe,yyLmEAAAQBAJ,12451,2022/01/05,2022/11/20,read,5,896.0
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,FMPdAgAAQBAJ,18693771,2022/04/06,2022/10/13,read,5,464.0
The Unwomanly Face of War: An Oral History of Women in World War II,Svetlana Alexievich,VhUTDgAAQBAJ,32905382,2022/10/03,2022/10/09,read,4,331.0
Stalingrad,Vasily Grossman,Z9FnDwAAQBAJ,42194293,2022/09/26,2022/10/03,read,4,1088.0
Matterhorn,Karl Marlantes,71tAAQAAIAAJ,6411016,2022/04/05,2022/09/26,read,5,663.0
The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,Bruce D. Perry,WW5uDgAAQBAJ,129909,2022/08/25,2022/09/06,read,4,288.0
"A Swim in a Pond in the Rain: In Which Four Russians Give a Master Class on Writing, Reading, and Life",George Saunders,YDtYEAAAQBAJ,53487237,2022/07/12,2022/09/06,read,4,403.0
A History of the World in 100 Objects,Neil MacGregor,r3mUtaSxCncC,9553383,2022/08/24,2022/09/06,read,5,707.0
Depends What You Mean By Extremist,John Safran,JGdoDwAAQBAJ,34346697,2022/09/06,2022/09/11,read,4,304.0
Inventing the Individual: The Origins of Western Liberalism,Larry Siedentop,HA4TDgAAQBAJ,18740986,2022/11/22,2023/01/11,read,4,416.0
Butcher's Crossing,John  Williams,lIsdDAAAQBAJ,457228,2023/02/27,2023/03/12,read,4,274.0
The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,lbgAsJi1plwC,570172,2022/03/28,2022/07/09,read,4,427.0
Ham on Rye,Charles Bukowski,xlLZYtirey0C,38501,2022/06/27,2022/07/02,read,4,288.0
Jack Kerouac,Ann Charters,AIwEAQAAIAAJ,12387609,2023/02/16,2023/02/22,read,5,
The Laws of Human Nature,Robert Greene,0U5XDwAAQBAJ,39330937,2021/05/03,2021/08/01,read,3,624.0
Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,6rkkPwAACAAJ,27485,2023/01/25,2023/02/16,read,4,272.0
"Absalom, Absalom!",William Faulkner,PUh_EAAAQBAJ,373755,2022/01/16,2022/05/10,read,5,316.0
The Razor's Edge,W. Somerset Maugham,C0i7DNHNy-8C,31196,2022/03/28,2022/05/19,read,4,314.0
Naked Lunch,William S. Burroughs,MlvMaAKiobgC,7437,2023/01/30,2023/02/07,read,3,289.0
